playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch
17232,Yoán Moncada,CHW,12,45,11,7,3,1,0,4,0,1,0.111111111,0.244444444,0.125,0.379310344,0.275,0.264,0.332686112,0.314,0.4,0.346,0.355555555,117.2976543,0.776066162,0.385255132,6.484876064,-0.114580274,0.274865406,0.454545454,0,0.34482759,0.25,0.63,0.44791667,0.34782609,0.9047619,0.75581395,0.4137931,0.24137931,0.34482759,90.23158843,6.060114367,108.573,0.275862068,0.551724137,0.172413793,-0.336211592
29949,Tyler Black,MIL,18,57,10,8,2,0,0,4,2,3,0.122807017,0.298245614,0.040816327,0.3125,0.204081632,0.191,0.265029562,0.256,0.244897959,0.231,0.315789473,67.67751619,-1.61784086,-1.000821173,4.924362181,0.585292906,-0.074412125,0.411764705,0,0.15625,0.23478261,0.61290323,0.43096234,0.55555556,0.86842105,0.78640777,0.34375,0.34375,0.3125,82.96710205,16.41696358,102.583,0.1875,0.375,0.4375,-0.337431531
9774,Christian Vázquez,MIN,93,315,65,48,10,0,7,29,27,3,0.034920634,0.206349206,0.105442177,0.256637168,0.221088435,0.234,0.25004672,0.267,0.326530612,0.351,0.248387096,60.35457842,-16.82603454,14.06751728,3.278130436,-2.536792204,0.799594057,0.169230769,0.03781513,0.36134454,0.33457944,0.67656766,0.51621385,0.65363128,0.88780488,0.81663837,0.38655462,0.37815126,0.23529412,88.46291588,16.1031431,108.784,0.206896551,0.392241379,0.400862068,-0.339847802
19928,Ryan McKenna,- - -,13,15,3,1,0,0,2,4,2,1,0.066666666,0.333333333,0.428571428,0.142857142,0.214285714,0.17,0.378004241,0.257,0.642857142,0.367,0.266666666,157.7448689,0.837383379,-2.113212004,5.471264368,-0.03175493,-0.080143818,0.2,0.22222222,0.44444444,0.25925926,0.8,0.51923077,0.57142857,0.9,0.81481481,0.44444444,0.33333333,0.22222222,84.47467211,27.40188175,108.207,0.111111111,0.222222222,0.666666666,-0.344885593
16572,Connor Joe,PIT,123,416,83,51,22,1,9,49,36,2,0.10576923,0.21875,0.14010989,0.278195488,0.228021978,0.206,0.304952391,0.277,0.368131868,0.308,0.319711538,92.33366157,-4.215961721,-4.881349564,3.030702609,-0.402296185,0.491179032,0.483516483,0.04727273,0.32,0.22347066,0.62705882,0.43125379,0.52513966,0.85178236,0.76966292,0.41818182,0.30181818,0.28,85.33918796,16.34115534,109.403,0.149090909,0.429090909,0.421818181,-0.355154189
21865,Bo Naylor,CLE,123,389,71,46,10,2,13,39,39,6,0.074550128,0.313624678,0.149717514,0.262443438,0.200564971,0.196,0.268559478,0.26,0.350282485,0.326,0.263565891,73.94421485,-12.55770423,15.16792063,4.664255977,-0.960337967,1.608833161,0.237704918,0.07627119,0.37288136,0.2642487,0.65258216,0.4679803,0.50490196,0.82014388,0.73552632,0.43644068,0.3559322,0.20762712,88.75218784,19.91296439,109.028,0.175213675,0.35042735,0.474358974,-0.357170845
18217,Brett Sullivan,SDP,7,17,3,2,0,0,1,1,2,0,0.058823529,0.235294117,0.1875,0.181818181,0.1875,0.12,0.264833131,0.176,0.375,0.209,0.235294117,71.59422555,-0.658616666,-1.026617616,0.14285714,-0.081163403,-0.115579892,0.25,0.08333333,0.25,0.51851852,0.77272727,0.63265306,0.78571429,0.82352941,0.80645161,0.25,0.08333333,0.66666667,81.83630926,37.69726008,99.3068,0.09090909,0.09090909,0.818181818,-0.357591813
27769,Pete Crow-Armstrong,CHC,123,410,88,59,13,6,10,46,47,27,0.051219512,0.23902439,0.147849463,0.292134831,0.236559139,0.223,0.289447316,0.281,0.384408602,0.367,0.286069651,87.03000306,-1.43905105,14.10022914,8.510622185,4.91989316,2.717710904,0.214285714,0.07368421,0.36842105,0.41339156,0.75749319,0.591133,0.62323944,0.78776978,0.73214286,0.43508772,0.32982456,0.23508772,88.86954472,17.16108417,107.157,0.199233716,0.375478927,0.425287356,-0.357592371
2136,David Peralta,SDP,91,260,63,44,11,0,8,35,28,2,0.084615384,0.207692307,0.148305085,0.316091954,0.266949152,0.259,0.32920126,0.313,0.415254237,0.376,0.334615384,114.9183881,4.053279601,-8.522922039,3.466410044,-0.584995806,0.432590906,0.407407407,0.05494505,0.41758242,0.32941176,0.68972332,0.50885827,0.49404762,0.87679083,0.75241779,0.37912088,0.37912088,0.24175824,88.07105297,8.925525036,111.559,0.219780219,0.472527472,0.307692307,-0.369985247
22263,Nolan Gorman,STL,107,402,74,40,15,0,19,42,50,6,0.084577114,0.37562189,0.197260274,0.279187817,0.202739726,0.209,0.290496851,0.307,0.4,0.433,0.271144278,86.65867634,-7.102660988,-3.500629544,3.514610605,-0.689291552,0.287495391,0.225165562,0.16666667,0.38425926,0.30354796,0.69471154,0.50784683,0.37229437,0.74048443,0.63535229,0.41666667,0.41666667,0.16666667,88.47584484,20.33617596,111.037,0.185185185,0.324074074,0.49074074,-0.374263009
23395,Eric Wagaman,LAA,18,74,18,11,5,0,2,6,10,0,0.027027027,0.229729729,0.152777777,0.301886792,0.25,0.267,0.289845029,0.302,0.402777777,0.412,0.27027027,85.90164092,-1.088201096,-0.997956306,0.906746027,0.105528317,0.039314882,0.117647058,0.05454545,0.4,0.288,0.71527778,0.51672862,0.5,0.89320388,0.79136691,0.29090909,0.4,0.30909091,91.70277235,8.336434104,111.682,0.218181818,0.418181818,0.363636363,-0.381026995
19339,Nicky Lopez,CHW,124,445,96,80,12,3,1,40,21,5,0.083146067,0.150561797,0.052763819,0.287878787,0.24120603,0.227,0.275143851,0.268,0.293969849,0.288,0.312072892,76.82125267,-12.2590813,5.821554422,3.716672204,-0.45708213,0.867200548,0.552238805,0.0148368,0.16913947,0.29709229,0.65591398,0.48157248,0.66382979,0.8870674,0.82015306,0.30267062,0.38575668,0.3115727,84.99985068,5.575297971,106.521,0.176829268,0.560975609,0.262195121,-0.389663436
12161,Xander Bogaerts,SDP,111,463,113,86,15,1,11,50,44,13,0.060475161,0.170626349,0.11682243,0.296511627,0.264018691,0.262,0.299773856,0.305,0.380841121,0.382,0.306695464,95.11172848,-0.093774224,4.27598834,4.665972098,2.612660743,2.024303093,0.354430379,0.05070423,0.32957746,0.25063291,0.59240759,0.44165271,0.60606061,0.91062395,0.83438685,0.41408451,0.4,0.18591549,88.05820202,10.9255178,111.289,0.177464788,0.478873239,0.343661971,-0.392420093
