playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
6902,Martín Pérez,SP,L,L,SDP,34,12,5,6,0,26,26,135,7.1,3.3,1.5,0.317,76.90%,44.40%,14.50%,4.53,5.38,4.9,4.48,0.5,73,102.4,94.7
12863,Matt Barnes,RP,R,R,WSN,35,8.2,0,0,0,14,0,13.1,6.8,2.7,0.7,0.333,48.40%,42.20%,5.60%,6.75,5.9,3.54,4.61,0.1,97.6,94.2,90.1
13528,Matt Bowman,RP,R,R,BAL,34,4.1,1,0,0,25,1,30.2,7,3.8,1.5,0.239,76.50%,44.10%,14.30%,4.4,4.81,5.19,4.79,-0.2,104.8,99.2,100.5
1890,Matt Moore,RP,L,L,LAA,36,12,5,3,1,51,0,48.1,7.6,4.8,2,0.215,69.80%,29.40%,15.30%,5.03,4.25,6.17,5.46,-0.7,110.2,93.3,93.7
15440,Matthew Boyd,SP,L,L,CLE,34,8.1,2,2,0,8,8,39.2,10.4,2.9,0.9,0.277,74.90%,31.40%,8.00%,2.72,3.1,3.29,3.89,0.9,74.6,101.7,95
13743,Max Fried,SP,L,L,ATL,31,6.1,11,10,0,29,29,174.1,8.6,2.9,0.7,0.282,72.50%,58.80%,11.70%,3.25,3.72,3.33,3.33,3.4,94.1,98.1,98.8
3137,Max Scherzer,SP,R,R,TEX,40,16.1,2,4,0,9,9,43.1,8.3,2.1,1.5,0.277,75.20%,32.00%,12.50%,3.95,3.86,4.18,4.04,0.6,83.8,106.3,102.6
14843,Michael Lorenzen,SP,R,R,KCR,33,9.2,7,6,0,26,24,130.1,6.7,4.1,1.2,0.236,82.40%,41.80%,11.30%,3.31,4.59,4.89,4.95,0.7,93.5,97.2,94.9
18383,Michael Soroka,SP,R,R,CHW,27,6,0,10,0,25,9,79.2,9.5,5,1.5,0.261,67.50%,40.30%,14.40%,4.74,4.59,4.95,4.54,0.4,96.1,95.4,93.9
14078,Michael Wacha,SP,R,R,KCR,33,11.1,13,8,0,29,29,166.2,7.8,2.4,0.9,0.29,77.10%,38.60%,8.50%,3.35,4.05,3.65,4.14,3.3,91.1,102.3,99.3
15684,Miguel Castro,RP,R,R,ARI,30,8,0,0,0,11,0,13.2,5.3,2,2,0.347,75.80%,47.10%,18.80%,5.93,6.41,5.73,4.64,-0.2,113.1,94.2,100
12808,Mike Clevinger,SP,R,R,CHW,34,8,0,3,0,4,4,16,8.4,5.1,2.3,0.36,70.90%,34.00%,16.00%,6.75,7.18,6.23,5.34,-0.1,86.6,99.1,99.4
9132,Nathan Eovaldi,SP,R,R,TEX,35,13,12,8,0,29,29,170.2,8.8,2.2,1.2,0.271,74.50%,48.30%,14.60%,3.8,3.91,3.83,3.47,2.7,97.8,104,102.9
18337,Nick Anderson,RP,R,R,KCR,34,5.1,3,1,1,37,0,35.2,7.3,3.8,1.5,0.284,79.80%,39.80%,13.60%,4.04,5.14,5.07,4.75,-0.2,87.5,99.7,96.6
12730,Nick Martinez,SP,L,R,CIN,34,6,10,7,0,42,16,142.1,7.3,1.1,0.8,0.275,71.50%,36.90%,7.40%,3.1,3.19,3.21,3.89,3.5,98.6,108.6,107
15454,Nick Pivetta,SP,R,R,BOS,32,6.2,6,12,0,27,26,145.2,10.6,2.2,1.7,0.279,75.50%,33.50%,15.10%,4.14,3.51,4.07,3.5,2,133.1,104.3,107.6
9323,Patrick Corbin,SP,L,L,WSN,35,12.1,6,13,0,32,32,174.2,7.2,2.8,1.3,0.337,65.70%,46.30%,13.70%,5.62,5.53,4.41,4.14,1.7,76.4,101.4,94.5
19447,Patrick Sandoval,SP,L,L,LAA,28,4.1,2,8,0,16,16,79.2,9.2,4,0.9,0.341,66.20%,45.00%,10.30%,5.08,4.25,3.87,4.04,1.2,98.3,98.3,98.6
13892,Paul Sewald,RP,R,R,ARI,35,6.1,1,2,16,42,0,39.2,9.8,2.3,1.4,0.282,73.20%,26.60%,9.80%,4.31,3.78,3.95,4.31,0.3,117.8,100.2,103.2
18064,Phil Maton,RP,R,R,NYM,32,7,3,3,3,71,0,64,8.4,3.4,1,0.242,75.50%,46.80%,11.50%,3.66,4.31,4.26,4.28,0.1,93,95.1,101.5
13273,Ross Stripling,SP,R,R,ATH,35,8.1,2,11,0,22,14,85.1,5.2,2.3,0.7,0.338,54.80%,39.20%,6.50%,6.01,4.74,3.89,4.74,1.1,85.9,104.5,97.8
16350,Ryan Borucki,RP,L,L,PIT,31,6,0,0,0,14,0,11,10.6,3.3,1.6,0.387,55.60%,50.00%,25.00%,7.36,7.32,4.53,3.27,0,96.5,97.3,103.5
16502,Ryan Yarbrough,RP,R,L,TOR,33,6.1,5,2,1,44,0,98.2,5.9,2.9,1,0.212,79.10%,40.80%,10.20%,3.19,4.2,4.64,4.84,-0.1,81.5,99.7,95.8
15947,Ryne Stanek,RP,R,R,NYM,33,7,7,3,7,63,0,55.1,10.9,4.1,1.3,0.29,67.90%,33.10%,11.40%,4.88,3.44,4.14,4.18,0,125.3,96.2,103.6
10591,Scott Alexander,RP,L,L,ATH,35,7.1,1,3,0,45,0,38.2,7.2,3.5,0.7,0.257,77.60%,60.00%,11.10%,2.56,4.02,3.89,3.94,0.1,89.9,96.7,91.8
14993,Scott Barlow,RP,R,R,CLE,32,6,3,3,2,63,0,55,11.1,5.1,1,0.288,73.70%,47.10%,14.00%,4.25,4.17,4.02,3.78,0,110.7,91.5,92.7
12056,Scott McGough,RP,R,R,ARI,35,1.1,1,3,0,26,2,32.2,6.9,5.8,1.7,0.289,54.60%,40.80%,14.30%,7.44,5.9,6.04,5.6,-0.7,89.5,96.4,93.8
15873,Sean Manaea,SP,R,L,NYM,33,8.2,12,6,0,32,32,181.2,9.1,3.1,1,0.245,74.20%,37.60%,10.20%,3.47,3.75,3.83,4.04,2.8,90.1,97.3,96.3
16943,Sean Newcomb,RP,L,L,ATH,32,5,1,0,0,7,0,10,6.3,7.2,1.8,0.259,72.40%,50.00%,20.00%,6.3,5.53,7.07,5.98,-0.2,99.3,89.4,91.9
19427,Shane Bieber,SP,R,R,CLE,30,6.1,2,0,0,2,2,12,15,0.8,0,0.417,100.00%,50.00%,0.00%,0,2.76,0.08,0.59,0.8,97.9,101.6,99.6
12857,Shawn Armstrong,RP,R,R,CHC,34,6.1,3,3,1,57,7,66.2,8.9,3.4,0.8,0.362,69.00%,35.80%,7.60%,4.86,5.11,3.57,4.19,0.7,95.5,105.5,102.2
10197,Shelby Miller,RP,R,R,DET,34,9,6,8,2,51,0,55.2,7.9,2.1,1.5,0.215,60.30%,39.90%,12.30%,4.53,3.75,4.48,4.36,-0.2,105.5,98.1,99.7
16207,Spencer Turnbull,SP,R,R,PHI,32,6,3,0,0,17,7,54.1,9.6,3.3,1,0.233,84.00%,47.50%,12.00%,2.65,4.05,3.85,3.8,0.7,112.5,98.9,99.9
13580,Steven Okert,RP,L,L,MIN,33,4.1,3,2,1,44,1,35.1,8.4,4.1,1.5,0.304,71.40%,32.70%,13.00%,5.09,4.05,5.12,4.88,-0.2,98.6,95.3,97.8
3237,T.J. McFarland,RP,L,L,ATH,36,9.1,2,4,0,79,0,56.2,6.2,2.7,0.6,0.287,67.30%,57.30%,10.00%,3.81,3.36,3.82,3.97,0.3,64.3,100.9,102.1
17610,Tanner Rainey,RP,R,R,WSN,32,5.1,0,0,0,50,0,51,7.8,5.1,1.4,0.267,75.60%,28.10%,9.40%,4.76,5.49,5.42,5.9,-0.2,109.1,96.8,99.1
17586,Tanner Scott,RP,R,L,SDP,30,6.1,9,6,22,72,0,72,10.5,4.5,0.4,0.247,79.70%,50.00%,6.30%,1.75,2.96,2.92,3.38,1.6,145.2,100.1,110
