playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,LA,maxEV,Clutch
13499,Tom Murphy,C,R,R,SEA,33,6.09,47,159,42,22,12,0,8,19,17,0,6.30%,27.70%,22.70%,0.248,0.358,0.335,0.29,0.261,0.367,0.351,0.538,0.498,141.8,0.8,7.6,-4.7,1.1,-0.4,14.40%,44.20%,29.40%,71.70%,52.20%,46.30%,78.90%,70.50%,47.60%,30.10%,22.30%,18.40%,44.70%,36.90%,89.5,13.7,111.4,-0.8
15679,Rowdy Tellez,1B/DH,L,L,MIL,29,5,106,351,67,44,9,1,13,26,47,0,10.00%,24.50%,40.70%,0.161,0.249,0.291,0.215,0.238,0.288,0.306,0.376,0.374,78.4,-0.7,-11.5,-7.7,1.2,-2.1,8.70%,40.00%,24.90%,51.10%,38.50%,61.70%,88.20%,80.00%,38.30%,40.00%,21.70%,19.60%,37.40%,43.00%,89.9,15.2,114.8,-0.8
8090,Matt Carpenter,DH,L,R,SDP,38,11.15,76,237,33,16,12,0,5,18,31,1,17.30%,28.30%,61.20%,0.144,0.231,0.322,0.176,0.173,0.293,0.309,0.319,0.334,85.4,-0.4,-5.1,-7.1,1.9,-0.8,11.00%,30.70%,23.20%,57.70%,40.10%,45.80%,85.00%,73.50%,54.80%,24.60%,20.60%,16.00%,27.20%,56.80%,87,24.4,107.6,-0.8
11368,Yasmani Grandal,C,S,R,CHW,35,11.12,118,405,85,63,14,0,8,33,33,0,8.90%,21.20%,41.90%,0.105,0.284,0.309,0.234,0.222,0.288,0.282,0.339,0.332,79.8,0,-13.6,0.2,0.9,-3.8,4.70%,34.40%,29.70%,58.70%,44.70%,62.00%,84.80%,77.50%,40.10%,35.10%,24.70%,18.30%,45.20%,36.60%,87.9,10.8,110.4,-0.9
4940,Jason Heyward,RF/LF/CF,L,L,LAD,34,14,124,377,90,52,23,0,15,56,40,2,9.00%,17.00%,53.10%,0.204,0.291,0.34,0.269,0.25,0.348,0.319,0.473,0.405,120.4,2.3,8.2,1.6,2.8,-1.3,8.00%,37.30%,29.50%,63.90%,46.90%,62.40%,89.70%,81.20%,47.30%,34.10%,18.70%,15.00%,41.40%,43.60%,87.6,15.5,112.7,-1.1
10264,Brandon Belt,1B,L,L,TOR,36,12.13,103,404,86,44,23,0,19,53,43,0,15.10%,34.90%,43.30%,0.236,0.37,0.369,0.254,0.212,0.369,0.336,0.49,0.437,137.9,2.2,16.2,-8.3,1.2,-2.2,15.00%,39.50%,18.80%,64.30%,40.80%,45.10%,78.70%,70.70%,42.50%,28.00%,29.50%,21.50%,30.30%,48.20%,88.7,19.8,109.9,-1.1
6887,Martín Maldonado,C,R,R,HOU,37,11.16,117,407,69,42,12,0,15,33,36,0,7.40%,34.20%,21.60%,0.157,0.26,0.258,0.191,0.187,0.266,0.267,0.348,0.357,66.7,-0.8,-18,-4.4,0.9,-1.7,8.50%,40.00%,31.20%,64.30%,49.00%,43.20%,77.70%,67.50%,46.80%,30.60%,22.60%,21.50%,35.20%,43.40%,88.4,18.1,109.3,-1.1
15172,Tim Anderson,SS/2B,R,R,CHW,31,7.12,123,524,121,100,18,2,1,52,25,13,5.00%,23.30%,21.30%,0.051,0.323,0.286,0.245,0.252,0.26,0.279,0.296,0.335,60.2,-0.2,-23.3,3.4,5.2,1.6,2.90%,39.10%,34.80%,70.20%,53.50%,56.60%,85.70%,76.70%,33.50%,38.60%,27.90%,22.00%,61.10%,16.90%,87.8,2,109.6,-1.2
14128,Joey Gallo,RF/LF/1B,L,R,MIN,30,7.1,111,332,50,19,9,1,21,39,40,1,14.50%,42.80%,33.80%,0.262,0.244,0.301,0.177,0.149,0.32,0.295,0.44,0.399,102.9,0.8,1.4,-4.8,3,0.2,18.60%,52.90%,25.70%,69.60%,47.00%,31.70%,68.90%,58.40%,58.60%,20.70%,20.70%,12.20%,29.50%,58.30%,93,26.4,112.6,-1.2
18289,Brian Anderson,3B/RF,R,R,MIL,31,6.03,96,361,72,48,12,3,9,38,40,1,10.00%,29.90%,33.30%,0.142,0.309,0.31,0.226,0.231,0.299,0.316,0.368,0.391,85.7,0.3,-7.9,-1.3,3.7,-1.5,10.30%,37.10%,28.70%,66.50%,48.90%,44.80%,79.10%,69.80%,29.10%,43.70%,27.20%,19.20%,47.40%,33.30%,87.6,9.9,110.4,-1.6
13066,Teoscar Hernández,RF/LF,R,R,SEA,31,6.1,160,678,161,104,29,2,26,70,93,7,5.60%,31.10%,18.00%,0.178,0.342,0.305,0.258,0.258,0.317,0.336,0.435,0.476,106.5,1.9,0.9,-4.7,3.7,-4.4,13.80%,49.40%,34.50%,72.60%,53.60%,43.20%,77.80%,66.70%,38.20%,36.30%,25.40%,19.50%,43.20%,37.30%,91.3,12.3,112.6,-1.6
16505,Matt Chapman,3B,R,R,TOR,31,6.11,140,581,122,64,39,2,17,66,54,4,10.70%,28.40%,37.60%,0.185,0.319,0.33,0.24,0.23,0.328,0.337,0.424,0.457,109.7,3,6,4.1,3.7,-0.8,17.10%,56.10%,19.70%,63.50%,43.30%,53.80%,77.90%,72.90%,39.30%,37.30%,23.40%,15.60%,35.00%,49.40%,93.5,18.5,114.3,-1.7
19755,Shohei Ohtani,DH/SP,L,R,LAA,29,6,135,599,151,73,26,8,44,102,95,20,15.20%,23.90%,63.60%,0.35,0.342,0.412,0.304,0.295,0.433,0.427,0.654,0.638,179.5,6.5,59.5,-14.5,6.6,2.5,19.30%,53.30%,30.00%,69.20%,48.20%,50.40%,81.20%,71.00%,38.90%,36.10%,24.90%,18.20%,42.30%,39.50%,94.4,13.2,118.6,-2.1
