playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
11804,Héctor Neris,- - -,10,5,18,62,0,59.1,9.707866001,4.247191375,1.21348325,0.297468354,0.73170732,0.4,0.119402985,4.095505969,4.31,4.278839424,4.23341071,0.019054972,0.48115079,93.19961743,3.146353424,,,,0.08035714,93.09894025,0.606330086,,,,0.03373016,85.88957843,-2.63059647,,,,,,,0.4047619,82.91756185,-3.775855958,,,,,,,,,,84.44689507,87.95959596,86.75714286,,,83.21474201,84.41162258,98.31261624,98.50207824,,Héctor Neris,RP,R,R,HOU,36,9.068,0.019054972,0.114700869,,0,,,,,,
11847,Chris Martin,BOS,3,1,2,45,0,44.1,10.15037623,0.609022574,1.015037623,0.352941176,0.67391304,0.462809917,0.131578947,3.451127919,3.41,2.783021121,2.612862908,0.901055753,0.30898021,94.89652286,0.454692554,0.45357686,92.11932414,4.980783902,0.09741248,94.21131897,0.566104781,,,,0.00913242,85.62372843,-0.993117228,,,,,,,0.13089802,88.46252725,-0.605473928,,,,,,,,,,85.00742574,84.525,103.875,,101.3323944,125.8388235,97.91724684,112.2498418,107.1007911,,Chris Martin,RP,R,R,BOS,39,7.133,0.901055753,0.675911427,1,7000000,7000000,,TEX,1,5500000,5500000
12049,Kyle Hendricks,CHC,4,12,0,29,24,130.2,5.99234723,2.961734838,1.446428642,0.305084746,0.64180929,0.445475638,0.142857142,5.923469676,4.81,4.980255377,4.591979101,0.365124159,0.12652296,87.98416612,-4.317907289,,,,0.3556701,87.82328207,-5.633656219,0.38706654,81.09648816,-5.946398824,,,,0.13074039,74.53817607,1.455640398,,,,,,,,,,,,,,107.6943168,87.18924731,59.27232472,96.63562005,,,,,95.11291042,104.9309919,100.3933494,,Kyle Hendricks,SP,R,R,CHC,35,10.081,0.365124166,0.885674059,,0,,,LAA,1,2500000,2500000
12056,Scott McGough,ARI,1,3,0,26,2,32.2,6.887756242,5.785715243,1.653061498,0.288659794,0.54621849,0.40776699,0.142857142,7.438776741,5.9,6.044031275,5.600286907,-0.656290337,0.50517241,93.2318786,-8.363065638,,,,0.03448276,93.70388794,1.226596776,,,,0.14310345,87.1279238,-0.315263253,,,,,,,0.31724138,85.18800221,-0.877999499,,,,,,,,,,100.9728311,91.58,115.6175,,,65.89479769,89.54115583,96.42260669,93.78771102,,Scott McGough,RP,R,R,ARI,35,1.121,-0.656290293,-0.007089597,,0,,,,,,
12095,Yimi García,- - -,3,0,5,39,0,39,11.30769452,2.769231311,1.384615655,0.202380952,0.76923077,0.272727272,0.122448979,3.461539139,3.01,3.730582453,3.630285302,0.391343206,0.36407767,96.56106771,3.580331214,0.02427184,90.72386882,0.365061432,0.16666667,95.79571118,1.669057887,0.09546926,88.75662283,-0.523267671,0.34951456,85.12433539,2.666163471,,,,,,,,,,,,,,,,,100.0016949,109.953596,116.3765487,93.44509804,160.3674758,,,,118.5147737,104.2613564,111.1895717,,Yimi García,RP,R,R,SEA,34,9.149,0.391343206,0.615440309,1,5000000,5000000,,TOR,2,15000000,7500000
12317,Colin Rea,MIL,12,6,1,32,27,167.2,7.24652115,2.308151181,1.556660099,0.281690141,0.7662624,0.38771593,0.136792452,4.294234755,4.91,4.752960952,4.416255862,0.855212212,0.19283019,93.03690919,1.275431328,0.19433962,87.75009292,-7.441300273,0.3109434,92.35383324,-1.054251522,,,,0.16792453,82.05610736,6.91703625,0.04566038,79.00688234,-4.503853992,,,,0.08830189,86.55672879,-4.250167619,,,,,,,,,99.51517857,70.29412916,81.79163636,109.3995604,,75.61067961,77.60775862,83.70283293,102.4646673,96.91255642,,Colin Rea,SP,R,R,MIL,34,5.057,0.855212212,0.714591086,,0,,,CHC,1,5000000,5000000
12323,Jacob Barnes,WSN,8,3,0,63,0,66,7.500001734,2.727273358,1.363636679,0.296875,0.69863014,0.376237623,0.129870129,4.363637372,4.91,4.378601271,4.172914061,0.020245859,0.47090421,95.46886882,-2.618419606,0.49059982,89.90170221,3.996104337,,,,,,,0.03849597,83.88017237,0.263568219,,,,,,,,,,,,,,,,,,,101.8178368,,89.785,,88.66429872,,94.97206804,100.7458371,99.81217547,,Jacob Barnes,RP,R,R,WSN,35,6.1,0.020245859,-0.032578327,,0,,,,,,
12572,Blake Treinen,LAD,7,3,1,50,0,46.2,10.80000059,2.121428687,0.964285767,0.254545455,0.8974359,0.447368421,0.111111111,1.928571534,2.41,2.995051198,3.060202164,0.982824922,0.11126187,94.19412157,-0.527546618,0.1614654,90.8433643,-1.146336433,0.34192673,94.65993149,-0.077141348,,,,0.385346,83.83987126,7.314897813,,,,,,,,,,,,,,,,,,,71.3556962,78.27459016,134.0899281,,35.06851852,,92.48342776,101.366289,104.4016997,,Blake Treinen,RP,R,R,LAD,37,10.065,0.982824922,0.639761209,1,8000000,8000000,,LAD,2,22000000,11000000
12718,Adrian Houser,NYM,1,5,1,23,7,69.1,5.841346582,4.153846459,1.038461615,0.3,0.62753036,0.484581497,0.103896103,5.841346582,5.24,4.926095292,5.105296949,-0.145044744,0.16799293,93.81407021,1.18970516,,,,0.44473917,92.7684712,1.272444848,,,,0.17241379,83.50632512,-3.319218975,0.08753316,79.85444533,-4.39773047,,,,0.12732095,84.29755317,-3.330714505,,,,,,,,97.83886494,82.85574992,71.6605848,95.57422836,90.78967298,,,,90.79735155,100.3024415,96.5274022,,Adrian Houser,SP,R,R,NYM,32,5.136,-0.145044744,0.016809672,,0,,,TEX,1,0,
12730,Nick Martinez,CIN,10,7,0,42,16,142.1,7.334894876,1.138173343,0.822014081,0.275119617,0.71536145,0.369411764,0.073863636,3.098360766,3.19,3.208634347,3.89093048,3.465278268,0.21845574,92.7943915,2.639582191,0.21092279,89.21280343,5.75452048,0.17702448,92.1938996,3.568754878,0.2165725,80.25464929,8.252276659,0.0579096,85.10599673,-0.409141835,0.11911488,81.00163661,-3.903222106,,,,,,,,,,,,,,117.7309858,106.523183,91.21650178,80.08822122,104.5419231,,96.17101031,,98.63223659,108.5649376,106.9699075,,Nick Martinez,SP,L,R,CIN,34,6.002,3.465278149,1.774145842,2,32000000,16000000,21050000,CIN,1,21050000,21050000
