Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Austin Voth,BAL,1,2,0,25,0,34.2,8.826924696,3.894231483,1.557692593,0.323529412,0.72016461,0.336448598,0.127659574,93.30898839,5.192308645,4.13,5.101194544,5.092757978,-0.256259412,Austin Voth,15047,608723
Nabil Crismatt,- - -,0,2,0,8,0,13,8.307693527,4.846154557,2.076923382,0.380952381,0.61403509,0.5,0.23076923,89.09950256,8.307693527,4.27,6.2550408,4.908392356,-0.258524574,Nabil Crismatt,17732,622503
Colten Brewer,NYY,0,0,0,3,0,8.1,4.320000165,3.240000124,3.240000124,0.130434783,1,0.615384615,0.3,,4.320000165,4.93,8.415040556,5.719062558,-0.265837073,Colten Brewer,12997,605155
Nick Sandlin,CLE,5,5,0,61,0,60,9.900002518,3.600000916,1.800000458,0.192592593,0.76271186,0.409722222,0.1875,92.30582252,3.750000954,3.93,4.955040792,4.118615783,-0.26792264,Nick Sandlin,20517,680704
Trevor Kelley,TBR,0,1,0,10,3,15.1,6.456522275,3.521739422,2.347826282,0.260869565,0.76086957,0.34,0.16,89.79272079,5.869565704,5.34,6.776779782,6.081157584,-0.271630764,Trevor Kelley,18454,665001
Spencer Patton,OAK,0,0,0,12,0,12.1,5.10810982,4.378379845,2.189189923,0.256410256,0.81081081,0.238095238,0.125,91.37242296,5.10810982,6.99,6.741528014,6.796699013,-0.272233009,Spencer Patton,12361,607359
Carlos Carrasco,NYM,3,8,0,20,20,90,6.6,3.8,1.8,0.335640138,0.65769806,0.4495114,0.197802197,92.89281987,6.8,6.77,5.855040359,4.926762688,-0.276450783,Carlos Carrasco,6632,471911
Erasmo Ramírez,- - -,3,3,0,38,2,60.1,6.414365283,1.939226713,1.640884142,0.349753695,0.62200957,0.433962264,0.146666666,92.00680288,6.414365283,5.34,5.045095787,4.730201527,-0.277665559,Erasmo Ramirez,10314,541640
Reiss Knehr,SDP,0,1,0,4,1,5.2,6.352941889,7.941177362,4.764706417,0.35,0.46296296,0.260869565,0.375,93.40944078,15.88235472,17.38,11.37268833,6.82447853,-0.281278819,Reiss Knehr,21541,663753
Tommy Hunter,NYM,0,1,0,14,0,23.2,7.605635233,1.901408808,2.28169057,0.301369863,0.56390977,0.46835443,0.1875,92.71131807,6.84507171,5.13,5.747998575,4.687741592,-0.281336933,Tommy Hunter,1157,488984
Yonny Chirinos,- - -,5,5,0,20,9,85,5.611765084,2.858823722,1.588235401,0.284644195,0.68627451,0.455516014,0.159574468,93.07884618,5.400000364,6.24,5.431511094,4.965805944,-0.282318816,Yonny Chirinos,16401,630023
Jonathan Heasley,KCR,0,0,0,12,0,15,5.400000343,1.200000076,3.000000191,0.260869565,0.53846154,0.25490196,0.227272727,94.95142835,7.200000458,8.48,6.98837393,5.079956381,-0.285661757,Jonathan Heasley,22224,669169
Zach Pop,TOR,1,1,0,15,0,13.2,9.219515841,3.951221075,2.634147383,0.21875,0.52631579,0.388888888,0.333333333,,6.585368458,5.62,6.328212306,3.975056818,-0.29612413,Zach Pop,20185,647315
