playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
15271,Austin Wynns,C,R,R,CIN,34,4.0,0.4,0.0,,$0,,,CIN,1.0,$0,,Austin Wynns,CIN,7,20,0,3,2,0,0.0,0.25,0.210526316,0.5,0.368421052,0.4,0.578947368,0.4191554367542267,0.307,165.31239125969233,0.0399120524525642,1.601933039793539,1.2430463880300522,0.362608049043109,Austin Wynns,642851
13620,Carson Kelly,C,R,R,TEX,30,6.2,1.8,1.5,,$0,,,CHC,2.0,"$11,500,000","$5,750,000",Carson Kelly,- - -,91,313,9,32,37,0,0.079872204,0.175718849,0.135231317,0.266055045,0.238434163,0.313099041,0.37366548,0.3041468285524045,0.314,98.51216319601266,-3.0139770582318306,-3.546827392291652,10.50499939918518,1.7962260282612386,Carson Kelly,608348
10028,Christian Bethancourt,C,R,R,CHC,33,5.0,0.2,0.4,,$0,,,TOR,1.0,$0,,Christian Bethancourt,- - -,62,147,5,18,22,3,0.034013605,0.244897959,0.158273381,0.244897959,0.208633093,0.24137931,0.366906474,0.2633386632491802,0.267,65.8372085284152,0.4722151856985874,-5.533046944982395,2.7563915252685547,0.2188033250679935,Christian Bethancourt,542194
12510,Curt Casali,C,R,R,SFG,36,8.1,-0.4,0.1,,$0,,,ATL,1.0,$0,,Curt Casali,SFG,41,125,1,12,8,0,0.104,0.176,0.055555556,0.235294117,0.194444444,0.292682926,0.25,0.2536676017249503,0.265,62.369261655673824,-0.239080611616373,-5.863970652509965,-2.2659411430358887,-0.4097323756428251,Curt Casali,592200
16535,Danny Jansen,C,R,R,BOS,30,6.1,0.5,1.6,2.0,"$16,000,000","$8,000,000",,TBR,1.0,"$8,500,000","$8,500,000",Danny Jansen,- - -,94,324,9,35,24,0,0.12345679,0.188271604,0.143884892,0.227488151,0.205035971,0.308641975,0.348920863,0.2942591960783358,0.289,90.01000079262006,-1.0821509808301926,-4.785682723881526,-0.536925882101059,0.565765879530411,Danny Jansen,643376
11680,Elias Díaz,C,R,R,SDP,34,8.1,0.5,0.3,,$0,,,,,,,Elias Díaz,- - -,96,351,6,27,39,0,0.056980056,0.196581196,0.116923077,0.317460317,0.264615384,0.313390313,0.381538461,0.3025053097388805,0.28,81.31288428230079,-2.888574216514826,-10.732088211107635,4.067534733563662,0.5188773775442881,Elias Diaz,553869
13723,Jacob Stallings,C,R,R,COL,35,6.1,0.9,0.1,,$0,,,COL,1.0,"$2,500,000","$2,500,000",Jacob Stallings,COL,82,281,9,31,36,0,0.096085409,0.231316725,0.189300412,0.323529411,0.263374485,0.357142857,0.452674897,0.352632313646296,0.318,113.90723690811366,-3.500820815563202,1.1723155813617474,-1.405439853668213,0.9423531683086068,Jacob Stallings,607732
12859,James McCann,C,R,R,BAL,35,10.0,0.2,0.5,,$0,,,,,,,James McCann,BAL,66,233,8,27,31,1,0.055793991,0.240343347,0.154205608,0.272727272,0.233644859,0.278969957,0.387850467,0.2883366561242951,0.313,89.23683615354075,-1.5088992565870285,-4.378367877931756,-1.4677366018295288,0.1984040380740482,James McCann,543510
5517,Kyle Higashioka,C,R,R,SDP,35,6.0,1.6,1.3,,$0,,,TEX,2.0,"$13,500,000","$6,750,000",Kyle Higashioka,SDP,84,263,17,29,45,2,0.05703422,0.281368821,0.256097561,0.237179487,0.219512195,0.263358778,0.475609756,0.3138900660831509,0.298,104.61290535193828,-1.155170999467373,0.2955756514949241,5.996636152267456,1.5543685333246406,Kyle Higashioka,543309
13355,Luke Maile,C,R,R,CIN,34,7.1,-0.7,0.1,,$0,,,,,,,Luke Maile,CIN,55,154,2,8,8,2,0.084415584,0.337662337,0.074074074,0.268292682,0.177777777,0.267973856,0.251851851,0.2407010914453494,0.241,45.20038450864698,0.0987412277609109,-9.992846882927784,-1.9737130105495453,-0.7062343825500894,Luke Maile,571912
6887,Martín Maldonado,C,R,R,CHW,38,12.1,-1.5,-0.3,,$0,,,SDP,1.0,$0,,Martín Maldonado,CHW,48,147,4,9,11,0,0.054421768,0.346938775,0.111111111,0.15,0.118518518,0.173611111,0.229629629,0.1814612290925449,0.222,10.922983618312015,-1.4356775134801865,-16.418326469943672,-3.013967990875244,-1.5008291064715649,Martin Maldonado,455117
