Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Trea Turner,PHI,155,691,26,102,76,30,0.06512301,0.2170767,0.192488263,0.310344827,0.266040688,0.319826338,0.458528951,0.3331584,0.33,108.2889064,9.398544515,16.49421996,2.562883854,4.241484333,Trea Turner,16252,607208
Ha-Seong Kim,SDP,152,626,17,84,60,38,0.119808306,0.198083067,0.137546468,0.305970149,0.260223048,0.351046698,0.397769516,0.330007459,0.313,110.4660005,4.154217741,12.27080653,8.9613235,4.238147853,Ha-Seong Kim,27506,673490
Bryson Stott,PHI,151,640,15,78,62,31,0.0609375,0.15625,0.138461538,0.311715481,0.28034188,0.328638497,0.418803418,0.322911577,0.309,101.4195989,4.971706241,6.097254444,14.18344259,4.190706336,Bryson Stott,26294,681082
Brandon Nimmo,NYM,152,682,24,89,68,3,0.108504398,0.214076246,0.192567568,0.323943661,0.273648648,0.362701908,0.466216216,0.358775244,0.352,129.587421,-3.380333044,21.61793633,-2.90887773,4.176285489,Brandon Nimmo,12927,607043
Jose Altuve,HOU,90,410,17,76,51,14,0.107317073,0.173170731,0.211111111,0.347985347,0.311111111,0.392682926,0.522222222,0.392972534,0.331,154.6744158,0.047787438,26.90745208,0.280673802,4.115544422,Jose Altuve,5417,514888
Fernando Tatis Jr.,SDP,141,635,25,91,78,29,0.083464566,0.222047244,0.191304348,0.298543689,0.257391304,0.321766561,0.448695652,0.331738206,0.364,111.6262659,3.04359849,12.18962455,7.357575417,4.100623482,Fernando Tatis Jr.,19709,665487
Ozzie Albies,ATL,148,660,33,96,109,13,0.069696969,0.162121212,0.233221476,0.288793103,0.280201342,0.335866261,0.513422818,0.358370776,0.34,124.584253,3.294046087,23.39512692,-4.830952644,4.087300409,Ozzie Albies,16556,645277
James Outman,LAD,151,567,23,86,70,16,0.119929453,0.319223985,0.188405798,0.342756183,0.248447204,0.352733686,0.436853002,0.344304573,0.325,118.0614331,3.430885096,16.11773269,4.460671306,3.973063696,James Outman,24770,681546
Jonah Heim,TEX,131,501,18,61,95,2,0.079840319,0.191616766,0.179431072,0.289017341,0.258205689,0.317365269,0.437636761,0.323871749,0.324,105.2595309,-0.64756473,2.509745911,19.98160601,3.958904907,Jonah Heim,16930,641680
Bo Bichette,TOR,135,601,20,69,73,5,0.044925124,0.191347753,0.168126095,0.354691075,0.306479859,0.339434276,0.474605954,0.349437945,0.363,124.303525,-1.404032244,16.09750992,2.6766119,3.930771625,Bo Bichette,19612,666182
TJ Friedl,CIN,138,556,18,73,66,27,0.084532374,0.161870503,0.18852459,0.308093994,0.278688524,0.352189781,0.467213114,0.352691414,0.289,115.4667126,6.050561748,16.70403612,3.745441198,3.922938661,TJ Friedl,19522,670770
Will Smith,LAD,126,554,19,80,76,3,0.113718411,0.160649819,0.176724138,0.277173913,0.260775862,0.359205776,0.4375,0.344918631,0.352,118.4730879,-1.090236061,11.58825936,8.694316417,3.899519513,Will Smith,19197,669257
