playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
12180,Jorge Alfaro,C,R,R,BOS,31,5.1,-0.4,,,$0,,,CHC,1.0,$0,,Jorge Alfaro,- - -,18,52,1,2,4,0,0.038461538,0.288461538,0.145833333,0.1875,0.145833333,0.211538461,0.291666666,0.222846806,0.27,24.46525028,-0.077268189,-4.869719306,-0.943964601,-0.402799818,Jorge Alfaro,595751
14221,Jorge Soler,RF/LF/DH,R,R,MIA,32,8.1,1.8,,3.0,"$48,000,000","$16,000,000",,SFG,3.0,"$42,000,000","$12,142,857",Jorge Soler,MIA,137,580,36,77,75,1,0.113793103,0.243103448,0.261904761,0.271903323,0.25,0.34137931,0.511904761,0.36067215,0.374,124.6902135,-2.841310673,14.89941161,-16.62980032,1.792531551,Jorge Soler,624585
8202,Josh Harrison,3B/2B,R,R,PHI,36,11.1,-0.6,,,$0,,,,,,,Josh Harrison,PHI,41,114,2,8,10,0,0.026315789,0.175438596,0.08737864,0.228915662,0.203883495,0.263157894,0.291262135,0.248278935,0.278,51.3870568,0.177160437,-6.688387832,-3.464253154,-0.626155821,Josh Harrison,543281
10815,Jurickson Profar,LF/RF/1B,S,R,SDP,31,9.2,-1.6,,,$0,,,SDP,1.0,"$1,000,000","$1,000,000",Jurickson Profar,- - -,125,521,9,55,46,1,0.095969289,0.172744721,0.126361656,0.279452054,0.241830065,0.321153846,0.368191721,0.304485584,0.306,78.06562675,-2.44161945,-16.59895125,-16.83504409,-1.568769132,Jurickson Profar,595777
5235,Justin Turner,1B/3B/DH,R,R,BOS,39,13.0,1.1,,1.0,"$12,000,000","$12,000,000",,TOR,1.0,"$13,000,000","$13,000,000",Justin Turner,BOS,146,626,23,86,96,4,0.081469648,0.175718849,0.179211469,0.303944315,0.275985663,0.345047923,0.455197132,0.345657466,0.336,114.5777847,-5.202638286,5.731849514,-16.60985303,1.059570667,Justin Turner,457759
11038,Kevin Kiermaier,CF,L,R,TOR,34,9.1,2.8,,2.0,"$20,000,000","$10,000,000",,TOR,1.0,"$10,500,000","$10,500,000",Kevin Kiermaier,TOR,129,408,8,58,36,14,0.071078431,0.210784313,0.154054054,0.321428571,0.264864864,0.321867321,0.418918918,0.320024479,0.3,103.9164071,3.10314934,5.017760435,9.109553814,2.806302122,Kevin Kiermaier,595281
17696,Kevin Newman,SS/2B/3B,R,R,CIN,30,5.0,0.0,,,$0,,,ARI,1.0,"$800,000","$800,000",Kevin Newman,CIN,74,253,3,28,28,8,0.067193675,0.134387351,0.111111111,0.279792746,0.253333333,0.310756972,0.364444444,0.295550734,0.311,77.16050501,1.036146469,-6.122410342,-2.797085973,-0.032247748,Kevin Newman,621028
12434,Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.1,0.3,,,$0,,,LAA,1.0,"$608,710","$608,710",Kevin Pillar,ATL,81,206,9,29,32,4,0.029126213,0.242718446,0.187817259,0.255319148,0.228426395,0.247572815,0.416243654,0.2795915,0.295,71.77187277,0.749751136,-6.454150006,2.209601164,0.274686965,Kevin Pillar,607680
12532,Kolten Wong,2B,L,R,LAD,33,10.0,-0.7,,,$0,,,BAL,1.0,$0,,Kolten Wong,- - -,87,250,4,25,27,3,0.072,0.212,0.080357143,0.217647058,0.183035714,0.256,0.263392857,0.235975442,0.262,49.56475453,-0.02384238,-15.09060102,-0.741452619,-0.723652827,Kolten Wong,543939
19508,Kyle Lewis,LF/RF,R,R,ARI,28,3.1,-0.5,,,$0,,,,,,,Kyle Lewis,ARI,16,54,1,2,2,0,0.055555555,0.388888888,0.098039215,0.24137931,0.156862745,0.203703703,0.25490196,0.203555757,0.22,20.35448184,-0.064405273,-5.392519903,-1.191200271,-0.473556256,Kyle Lewis,641786
19238,Lourdes Gurriel Jr.,LF,R,R,ARI,30,5.1,1.9,,3.0,"$36,000,000","$12,000,000",,ARI,3.0,"$42,000,000","$14,000,000",Lourdes Gurriel Jr.,ARI,145,592,24,65,82,5,0.055743243,0.173986486,0.201451906,0.28169014,0.261343012,0.309121621,0.462794918,0.329345438,0.324,104.6818934,0.133553239,3.567247975,-4.191781044,1.943461573,Lourdes Gurriel Jr.,666971
16451,Luis Guillorme,SS/3B/2B,L,R,NYM,29,4.2,-0.3,,,$0,,,ATL,1.0,"$1,100,000","$1,100,000",Luis Guillorme,NYM,54,120,1,12,9,0,0.083333333,0.233333333,0.102803738,0.29113924,0.224299065,0.288135593,0.327102803,0.268540536,0.236,69.09550067,-0.20391663,-4.798238482,-2.745383322,-0.345662516,Luis Guillorme,641645
13355,Luke Maile,C,R,R,CIN,33,6.1,0.4,,,$0,,,CIN,1.0,"$3,500,000","$3,500,000",Luke Maile,CIN,78,199,6,17,25,2,0.070351758,0.246231155,0.156424581,0.29032258,0.234636871,0.308080808,0.391061452,0.306973783,0.315,84.81833602,-0.821314875,-4.564065652,2.048132896,0.42334374,Luke Maile,571912
14811,Luke Voit,DH/1B,R,R,MIL,33,5.1,-0.4,,,$0,,,NYM,1.0,$0,,Luke Voit,MIL,22,74,0,5,4,2,0.054054054,0.364864864,0.044117647,0.365853658,0.220588235,0.283783783,0.264705882,0.250774922,0.286,53.27893359,-0.506642993,-4.789789447,-2.235823244,-0.44985924,Luke Voit,572228
