playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID
19252,Cavan Biggio,TOR,111,338,68,47,12,0,9,54,40,5,0.118343195,0.260355029,0.134948097,0.304123711,0.235294117,0.226,0.317631269,0.314,0.370242214,0.37,0.340236686,102.2576211,0.789392806,-3.517163754,4.285615708,-0.124931631,0.885777401,0.454545454,0.07389163,0.33004926,0.1595092,0.60408163,0.39509733,0.40384615,0.87162162,0.78284672,0.44827586,0.30049261,0.25123153,88.38459961,15.7151355,109.822,0.205,0.38,0.415,0.044836364,624415
20538,Jose Miranda,MIN,40,152,30,23,4,0,3,12,13,0,0.059210526,0.157894736,0.091549296,0.234782608,0.211267605,0.242,0.251807916,0.281,0.302816901,0.345,0.263157894,55.96552958,-7.95292157,-4.118539959,1.08035714,0.066978259,-0.683075769,0.375,0.04237288,0.37288136,0.33910035,0.71875,0.51743119,0.6122449,0.85326087,0.76950355,0.5,0.33050847,0.16949153,87.89098914,10.11216607,111.037,0.20338983,0.491525423,0.305084745,0.041302685,669304
5273,Sandy León,TEX,22,44,6,4,2,0,0,4,4,0,0.022727272,0.454545454,0.048780488,0.285714285,0.146341463,0.136,0.173013438,0.168,0.195121951,0.197,0.186046511,0.696328637,-5.489720782,-0.049019352,2.64285714,-0.254312449,-0.401591898,0.05,0.04545455,0.22727273,0.28888889,0.56896552,0.44660194,0.76923077,0.74242424,0.75,0.36363636,0.40909091,0.22727273,85.22875977,17.71398344,104.603,0.238095238,0.476190476,0.285714285,0.041251223,506702
19948,Cristian Pache,PHI,48,95,20,10,7,1,2,12,11,2,0.105263157,0.284210526,0.178571428,0.327272727,0.238095238,0.244,0.319870066,0.315,0.416666666,0.392,0.319148936,99.38061802,-0.151940272,1.329971045,5.418778015,-0.079044787,0.439337098,0.37037037,0.06896552,0.44827586,0.21965318,0.67942584,0.47120419,0.44736842,0.73943662,0.67777778,0.48275862,0.25862069,0.25862069,89.86820927,8.615994489,108.242,0.277777777,0.444444444,0.277777777,0.041151148,665506
22054,Dane Myers,MIA,22,70,18,14,3,0,1,9,9,1,0.028571428,0.271428571,0.089552239,0.354166666,0.268656716,0.299,0.278324243,0.308,0.358208955,0.397,0.285714285,69.48547999,-2.57860908,-0.755750559,3.665719329,0.067593209,-0.095328994,0.105263157,0.02040816,0.53061224,0.27350427,0.64827586,0.48091603,0.59375,0.79787234,0.74603175,0.42857143,0.36734694,0.20408163,91.8271883,-1.833228754,109.661,0.244897959,0.612244897,0.142857142,0.040005643,667472
14811,Luke Voit,MIL,22,74,15,12,3,0,0,5,4,2,0.054054054,0.364864864,0.044117647,0.365853658,0.220588235,0.229,0.250774922,0.286,0.264705882,0.355,0.283783783,53.27893359,-4.789789447,-2.235823244,4.420960698,-0.506642993,-0.44985924,0.148148148,0.07317073,0.36585366,0.25517241,0.74100719,0.49295775,0.27027027,0.72815534,0.60714286,0.46341463,0.34146341,0.19512195,86.65902487,12.47154199,108.952,0.292682926,0.43902439,0.268292682,0.037525453,572228
24336,Johan Rojas,PHI,59,164,45,32,9,2,2,24,23,14,0.030487804,0.25609756,0.127516779,0.409523809,0.302013422,0.247,0.335218233,0.267,0.429530201,0.304,0.341772151,109.6697862,5.214662224,3.974583685,9.144722679,3.250039431,1.471972405,0.119047619,0.00884956,0.28318584,0.38823529,0.64379085,0.52762923,0.52525253,0.85786802,0.74662162,0.38053097,0.38938053,0.2300885,86.59707031,7.319057956,106.966,0.207920792,0.455445544,0.336633663,0.037228307,679032
12977,Michael Pérez,NYM,3,8,4,3,1,0,0,1,0,0,0,0.125,0.125,0.571428571,0.5,0.349,0.486421406,0.378,0.625,0.547,0.5,215.1593883,1.132583467,0.321751297,1.08035714,-0.008737496,0.172127203,0,0.28571429,0.57142857,0.33333333,0.64705882,0.5,0.8,0.90909091,0.875,0.14285714,0.71428571,0.14285714,93.46285575,17.23020826,109.136,0.285714285,0.428571428,0.285714285,0.036077819,605421
13897,Tyler Heineman,- - -,22,47,9,7,1,1,0,5,3,1,0.170212765,0.170212765,0.078947368,0.3,0.236842105,0.254,0.325183198,0.333,0.315789473,0.311,0.382978723,106.9063499,0.883804506,1.850178465,6.623533495,0.540078841,0.433246327,1,0,0.26666667,0.32631579,0.61728395,0.46022727,0.74193548,0.9,0.83950617,0.36666667,0.4,0.23333333,82.12464033,21.94385202,103.569,0.285714285,0.321428571,0.392857142,0.036025756,623168
25961,Kerry Carpenter,DET,118,459,116,77,17,2,20,57,64,6,0.069716775,0.250544662,0.193779905,0.338028169,0.277511961,0.258,0.347166954,0.336,0.471291866,0.46,0.339869281,122.5730475,12.53405558,-7.210840106,4.672140029,0.119377603,2.103074591,0.278260869,0.10197368,0.43092105,0.36,0.69682726,0.52370074,0.60185185,0.84991568,0.76226827,0.45065789,0.33552632,0.21381579,90.14621833,13.07792466,109.316,0.197368421,0.447368421,0.355263157,0.035908322,681481
18217,Brett Sullivan,SDP,33,86,17,13,3,0,1,7,6,0,0.046511627,0.220930232,0.074074074,0.258064516,0.209876543,0.229,0.232464727,0.249,0.283950617,0.304,0.244186046,45.07489611,-5.686878088,-1.857738137,1.39285714,0.164899296,-0.460956115,0.210526315,0.01587302,0.28571429,0.26470588,0.6402439,0.47,0.69444444,0.87619048,0.82978723,0.44444444,0.31746032,0.23809524,86.90950258,16.27739396,103.799,0.177419354,0.403225806,0.419354838,0.034864707,664954
21746,José Fermín,STL,21,61,12,11,1,0,0,2,4,0,0.098360655,0.13114754,0.019607843,0.279069767,0.235294117,0.278,0.281001507,0.327,0.25490196,0.343,0.33898305,75.39223358,-2.60592384,0.797587082,0.935643102,-0.746319768,0.02634955,0.75,0,0.33333333,0.21875,0.56097561,0.4109589,0.85714286,0.91304348,0.9,0.4,0.37777778,0.22222222,89.50633603,9.929574149,104.549,0.285714285,0.404761904,0.309523809,0.030997721,665877
19709,Fernando Tatis Jr.,SDP,141,635,148,89,33,1,25,91,78,29,0.083464566,0.222047244,0.191304348,0.298543689,0.257391304,0.281,0.331738206,0.364,0.448695652,0.508,0.321766561,111.6262659,12.18962455,7.357575417,5.921672488,3.04359849,4.100623482,0.375886524,0.10958904,0.48858447,0.32160393,0.78077269,0.54047109,0.5216285,0.79746835,0.71156894,0.43607306,0.39041096,0.17351598,91.85661554,10.96668291,113.38,0.192219679,0.471395881,0.336384439,0.030950128,665487
27630,Nick Loftin,KCR,19,68,20,14,5,1,0,10,10,2,0.058823529,0.176470588,0.112903225,0.392156862,0.322580645,0.254,0.347835328,0.306,0.43548387,0.357,0.367647058,117.4071369,1.809299287,-0.729448378,7.608187007,0.390996892,0.340606974,0.333333333,0.07843137,0.35294118,0.25984252,0.68292683,0.468,0.60606061,0.89285714,0.81196581,0.45098039,0.2745098,0.2745098,86.3113511,10.76423914,107.13,0.196078431,0.490196078,0.31372549,0.028841135,679845
17737,Josh Lester,BAL,11,23,4,4,0,0,0,0,4,0,0.04347826,0.304347826,0,0.266666666,0.181818181,0.199,0.18374122,0.216,0.181818181,0.244,0.217391304,10.72493624,-2.537526196,-0.069317728,0.14285714,-0.077211938,-0.181163852,0.142857142,0,0.2,0.375,0.63636364,0.5,0.44444444,0.85714286,0.69565217,0.6,0.33333333,0.06666667,85.93693034,-1.638559469,105.776,0.2,0.733333333,0.066666666,0.028639278,623507
19842,Caleb Hamilton,BOS,4,6,0,0,0,0,0,0,0,0,0.166666666,0.833333333,0,0,0,,0.115983814,0.116,0,,0.166666666,-44.61405789,-1.04737232,0.025789961,0.14285714,-0.007705124,-0.081317264,0.2,,,0.4,0.41176471,0.40740741,0,0.85714286,0.54545455,,,,,,,0,0,0,0.027125912,643348
17326,Cole Tucker,COL,5,10,4,4,0,0,0,2,2,0,0.1,0.2,0,0.666666666,0.5,0.365,0.495205307,0.439,0.5,0.491,0.6,204.3393662,1.335846991,-1.091992259,2.01785714,0.043239548,0.058197302,0.5,0,0.16666667,0.0952381,0.57142857,0.33333333,0,0.91666667,0.78571429,0.16666667,0.66666667,0.16666667,86.99254354,-4.189114889,97.809,0.333333333,0.5,0.166666666,0.025337848,657061
15676,José Abreu,HOU,141,594,128,86,23,1,18,62,90,0,0.07070707,0.218855218,0.146296296,0.276381909,0.237037037,0.248,0.295169137,0.314,0.383333333,0.409,0.296296296,86.88473767,-11.8455174,-12.95963836,1.999883195,-2.510911114,-0.438822839,0.323076923,0.08653846,0.41586538,0.36310518,0.63893511,0.50125,0.57931034,0.85416667,0.75477972,0.33894231,0.40384615,0.25721154,89.01085279,10.75408114,113.267,0.1875,0.44951923,0.362980769,0.024676688,547989
25332,Endy Rodríguez,PIT,57,204,41,29,7,2,3,27,13,0,0.083333333,0.240196078,0.107526882,0.281481481,0.220430107,0.232,0.270981656,0.294,0.327956989,0.376,0.284313725,64.59856683,-8.285736423,7.486140966,3.995129865,0.661099429,0.611432967,0.346938775,0.05072464,0.36231884,0.27806122,0.6484375,0.46134021,0.58715596,0.89558233,0.80167598,0.5,0.27536232,0.22463768,89.11983919,16.45452391,110.749,0.240875912,0.335766423,0.423357664,0.024633383,682848
16953,Chadwick Tromp,ATL,6,16,2,1,1,0,0,1,1,0,0,0.4375,0.0625,0.222222222,0.125,0.15,0.132893667,0.151,0.1875,0.205,0.125,-26.57203294,-2.547311121,0.637785897,2.64285714,-0.038452457,-0.136203938,0,0,0.22222222,0.40740741,0.68571429,0.56451613,0.72727273,0.75,0.74285714,0.44444444,0.44444444,0.11111111,90.40128581,21.67201742,99.5211,0.222222222,0.222222222,0.555555555,0.021465837,644433
20352,Ernie Clement,TOR,30,52,19,16,1,1,1,7,10,1,0.019230769,0.076923076,0.12,0.391304347,0.38,0.323,0.377561687,0.325,0.5,0.426,0.384615384,143.7967075,3.26955804,0.807304889,6.386044695,0.540722361,0.584655187,0.25,0.0212766,0.19148936,0.44155844,0.69230769,0.56774194,0.85294118,0.96296296,0.92045455,0.40425532,0.34042553,0.25531915,84.13801737,16.26727295,105.421,0.234042553,0.404255319,0.361702127,0.021095921,676391
19966,Bobby Dalbec,BOS,21,53,10,7,2,0,1,6,1,1,0.075471698,0.528301886,0.102040816,0.45,0.204081632,0.198,0.253829931,0.275,0.306122448,0.377,0.264150943,50.93010754,-2.928187104,-1.266793847,4.764014293,0.188000202,-0.236767024,0.142857142,0.23809524,0.57142857,0.32478632,0.64285714,0.48034934,0.44736842,0.59722222,0.54545455,0.38095238,0.19047619,0.42857143,92.24251302,13.26159087,113.686,0.38095238,0.333333333,0.285714285,0.021084053,666915
