playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID
19205,Jesse Scholtens,CHW,1,9,1,26,11,85,6.141176746,3.176470731,1.588235365,0.3125,0.7027027,0.412587412,0.129310344,5.294117885,4.93,5.313863981,5.276085197,0.020881876,0.43469247,92.90902288,1.70492655,,,,,,,,,,0.36558397,85.56537246,-9.619475324,0.16516932,74.18803527,-1.224110316,,,,0.03455425,85.59484619,0.363081027,,,,,,,,91.922,104.4753138,73.23131955,,81.71058601,,,,82.00155765,99.12807072,97.94174805,,669947
19206,Dakota Hudson,STL,6,3,0,18,12,81.1,4.979508275,3.762295141,0.995901655,0.303846154,0.71057192,0.514925373,0.123287671,4.979508275,6,5.062417437,5.107843807,0.300459266,0.2110858,91.28746066,0.269355185,0.32118451,85.36797475,-2.829569932,0.38572513,91.77242826,1.148436725,0.02505695,84.54245827,-1.471418582,0.05694761,81.60528971,-0.535083666,,,,,,,,,,,,,,,,,85.196875,80.92465753,81.35205479,81.01690141,119.6037825,,,,93.60841339,96.1719692,91.17286169,,641712
19225,Mitch White,TOR,0,1,0,10,0,12.2,9.236845351,4.973685958,1.421053131,0.342105263,0.57291667,0.205128205,0.083333333,7.105265654,4.61,4.912935679,5.992970961,-0.047553021,0.37549407,93.7776213,-4.020100605,0.39525692,88.36884766,-1.062330037,,,,0.01581028,86.46095276,-0.571987253,0.11067194,85.18288749,2.139106452,0.1027668,80.17914288,0.172075633,,,,,,,,,,,,,,89.875,77.70384615,81.67052632,,113.9151394,,,,94.71699605,94.8513834,94.18853755,,669952
19244,Cole Irvin,BAL,1,4,0,24,12,77.1,7.913793234,2.443965557,1.280172435,0.292576419,0.70640177,0.414225941,0.123595505,4.422413866,5.59,4.431764517,4.485406407,0.525701836,0.26080126,92.28351051,1.075753089,0.16182247,85.45939681,4.991916586,0.2238806,91.97206689,1.898368549,0.21052632,84.17956543,-7.464587718,0.14218382,77.21573938,-1.588767659,0.00078555,76.0891037,-0.036386766,,,,,,,,,,,,,,74.79179104,91.84120879,68.17275281,75.12878788,,,98.67241379,,79.60083367,103.8149203,96.89367058,,608344
19249,Seranthony Domínguez,PHI,5,5,2,57,0,50,8.640001978,3.960000906,1.260000288,0.290780142,0.77039275,0.424657534,0.122807017,3.780000865,4.67,4.835040721,4.899861735,0.0645504,0.38882421,97.63184763,1.325176347,,,,0.29685681,98.20916054,-0.571399502,0.04074505,91.10583845,-0.828060161,0.27240978,90.10340712,0.558149852,,,,,,,,,,,,,,,,0.00116414,87.04117647,,135.4652695,123.2888889,112.5726891,,,,123.4083818,94.31350407,100.3541327,,622554
19261,Ian Hamilton,NYY,3,2,2,39,3,58,10.70689796,4.034483289,0.310344868,0.309352518,0.77247191,0.553191489,0.064516129,2.637931381,3.48,2.82400582,3.259418022,1.154147465,0.2288049,96.34151568,0.508194629,,,,0.2288049,95.72356497,-0.534689564,,,,0.54239019,88.2274609,11.28070801,,,,,,,,,,,,,,,,,,,100.9780822,98.43624454,110.2001883,,,,105.2237472,97.65145277,100.3845512,,641656
19264,Thomas Hatch,- - -,1,1,0,18,2,28.2,8.162791693,3.76744232,0.627907053,0.352272727,0.64814815,0.522727272,0.068965517,4.081395847,4.21,3.708528787,4.47412891,0.29636655,0.13080169,94.7989561,-2.980954133,0.03375527,91.22014618,0.951879587,0.24261603,94.75960534,1.186544236,0.2721519,85.43459018,-3.574732572,0.32067511,87.51659112,2.983404081,,,,,,,,,,,,,,,,,51.50697674,,111.9206349,98.48782609,,,109.0698795,,91.28858351,97.41078224,89.85623679,,641672
19274,Jacob Webb,- - -,1,1,1,54,0,53.2,9.559008023,5.031056854,1.006211371,0.244444444,0.78947368,0.371428571,0.101694915,3.689441693,3.82,4.484854257,4.84909818,0.109009951,0.48335124,94.82621962,6.230113819,,,,,,,0.2792696,85.8014686,0.043186035,0.23415682,83.90775068,-0.406797048,,,,,,,,,,,,,,,,0.00322234,85.75289575,,132.0101322,,113.9009174,,,,114.8230143,100.2206455,105.4040231,,657097
19281,Nick Hernandez,SDP,0,0,0,2,0,3,15,12,3,0.333333333,0.65789474,0.428571428,0.25,12,5.92,10.25504036,8.126176031,-0.095298968,0.20987654,90.47815659,-0.785784155,,,,,,,0.03703704,79.75310262,-0.082430493,0.72839506,83.02592029,-0.663561825,0.02469136,74.60804749,-0.45007769,,,,,,,,,,,,,,51.13333333,98.8,91.91176471,,82.63050847,,,,83.81111111,93.41234568,95.43333333,,663321
19291,Zac Gallen,ARI,17,9,0,34,34,210,9.428571429,2.014285714,0.942857143,0.300724638,0.73135755,0.417832167,0.109452736,3.471428571,4.16,3.264564169,3.485153229,5.169271469,0.49969212,93.51585605,25.28092337,0.08589901,90.19583753,-6.940600306,,,,0.13977833,86.79925833,4.926163122,0.04833744,87.51853603,0.16939221,0.2262931,82.4710034,3.222160406,,,,,,,,,,,,,,85.63554084,,104.3707026,97.3875,105.0843478,121.4911685,105.6291946,,105.8176166,104.4057909,107.4828711,,668678
