playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
12976,Austin Hedges,C,R,R,CLE,32,8.2,66,146,20,15,3,0,2,12,15,2,4.10%,34.20%,12.00%,0.068,0.22,0.203,0.152,0.127,0.191,0.166,0.22,0.179,19.7,0.4,-14.1,13.2,4.8,-0.7,1.10%,24.10%,29.40%,72.20%,53.00%,36.10%,79.40%,68.60%,52.90%,25.30%,21.80%,14.80%,33.30%,51.90%,84.8,103.2,21.4,0.1
16153,Austin Slater,RF/LF/CF,R,R,BAL,32,6.1,84,212,37,31,4,0,2,24,18,3,12.30%,28.30%,43.30%,0.056,0.294,0.321,0.209,0.232,0.273,0.303,0.266,0.319,76.4,-0.1,-6.8,-1.7,3.4,-0.8,3.30%,37.20%,20.10%,62.40%,42.40%,50.00%,79.00%,72.50%,33.90%,33.10%,33.10%,28.20%,50.40%,21.40%,88.2,105.4,7.2,-0.3
15271,Austin Wynns,C,R,R,CIN,34,4,7,20,7,3,4,0,0,3,2,0,0.00%,25.00%,0.00%,0.211,0.5,0.4,0.368,0.289,0.419,0.307,0.579,0.367,165.3,0.4,1.6,1.2,2.2,0,0.00%,35.70%,48.40%,54.50%,52.00%,60.00%,87.50%,76.90%,42.90%,35.70%,21.40%,35.70%,35.70%,28.60%,91.5,110,15.8,-0.1
12160,Ben Gamel,RF/LF,L,L,HOU,33,6.2,38,99,20,15,4,0,1,22,4,1,18.20%,24.20%,75.00%,0.086,0.339,0.384,0.247,0.259,0.327,0.343,0.333,0.368,114.5,0,0.9,-4.4,4.6,-0.7,10.50%,35.10%,18.60%,57.00%,38.10%,22.90%,82.70%,68.30%,42.10%,35.10%,22.80%,23.20%,42.90%,33.90%,89.1,110.5,12.8,-0.2
11615,Brandon Drury,2B/1B/3B,R,R,LAA,32,8,97,360,55,44,7,0,4,28,15,1,7.50%,22.50%,33.30%,0.058,0.21,0.242,0.169,0.202,0.217,0.259,0.228,0.287,34.4,-2.1,-28.9,-3.3,2.4,-1.9,3.60%,35.20%,25.80%,65.20%,46.70%,56.50%,84.90%,77.50%,36.80%,43.30%,19.80%,15.40%,57.10%,27.50%,87.6,113.7,6,-0.6
17907,Brendan Rodgers,2B,R,R,COL,28,5.1,135,539,134,91,29,1,13,67,54,1,5.80%,24.50%,23.50%,0.14,0.338,0.314,0.267,0.248,0.314,0.295,0.407,0.377,87.6,0.8,-8.8,-1.6,3,-0.9,5.60%,43.80%,27.10%,68.70%,49.20%,44.90%,87.20%,76.30%,36.00%,41.40%,22.60%,18.30%,56.10%,25.60%,89.3,111.1,4.9,0.2
19600,Bryan De La Cruz,RF/LF/CF,R,R,PIT,28,3.1,149,622,136,90,25,0,21,61,68,5,4.70%,27.30%,17.10%,0.151,0.289,0.271,0.233,0.242,0.283,0.302,0.384,0.419,77.3,-1.2,-19.5,-13.2,2.8,-2.6,9.30%,41.00%,32.80%,73.40%,53.40%,56.50%,79.80%,72.80%,42.00%,30.80%,27.20%,22.00%,41.10%,37.00%,89.6,110.5,13.1,0
2396,Carlos Santana,1B,S,R,MIN,39,14.1,150,594,124,75,26,0,23,63,71,4,10.90%,16.70%,65.70%,0.182,0.252,0.328,0.238,0.246,0.326,0.33,0.42,0.415,114.1,3,8.6,0.8,2.7,-0.9,7.30%,39.90%,24.60%,62.60%,43.30%,62.00%,85.50%,78.70%,53.30%,30.20%,16.50%,17.20%,38.70%,44.10%,89.2,113.6,16.1,-0.1
13620,Carson Kelly,C,R,R,TEX,30,6.2,91,313,67,48,9,1,9,32,37,0,8.00%,17.60%,45.50%,0.135,0.266,0.313,0.238,0.235,0.304,0.314,0.374,0.401,98.5,1.8,-3.5,10.5,2,-3,6.60%,38.80%,23.50%,66.40%,45.40%,53.00%,87.60%,78.80%,41.40%,37.40%,21.10%,14.50%,46.30%,39.20%,87.6,107.7,13.6,-0.2
19252,Cavan Biggio,2B/3B/LF/RF,L,R,ATL,30,5.1,78,224,37,27,5,0,5,27,19,2,10.70%,32.10%,33.30%,0.106,0.288,0.314,0.197,0.179,0.285,0.256,0.303,0.239,84.4,0.1,-3.6,-2.4,3.9,0.4,2.50%,16.70%,15.70%,55.00%,38.00%,50.80%,84.90%,78.80%,36.40%,40.70%,22.90%,25.40%,34.20%,40.40%,82,104.7,21.2,-1.3
